Country;Continent;Sub Region;Year;GDP per Capita (Grouped);Life Expectancy (Grouped);C02 Emissions per Person (Tonnes);Child Mortality Rate (per 1000 births);GDP per Capita;Life Expectancy;Population Total
Israel;Asia;Western Asia;1961;>= 5000 and <20000;>60;3,25;38,8;7500;67,6;2140000
Italy;Europe;Southern Europe;1961;>= 5000 and <20000;>60;2,49;49,8;11100;69,8;50100000
Jamaica;Americas;Caribbean;1961;>= 5000 and <20000;>60;1,29;80,5;5510;65,3;1650000
Japan;Asia;Eastern Asia;1961;>= 5000 and <20000;>60;2,99;36,2;5370;68,6;94600000
Jordan;Asia;Western Asia;1961;<5000;>=50 and <= 60;1,01;148;4670;55,1;974000
Kazakhstan;Asia;Central Asia;1961;>= 5000 and <20000;>=50 and <= 60;11,2;105;8810;59,9;10300000
Kenya;Africa;Eastern Africa;1961;<5000;>=50 and <= 60;0,287;190;1770;51,7;8380000
Kiribati;Oceania;Micronesia;1961;<5000;>=50 and <= 60;0,174;191;2920;50,3;42200
Kuwait;Asia;Western Asia;1961;>= 20000 and <40000;>60;33,1;136;21400;64;301000
Latvia;Europe;Northern Europe;1961;>= 5000 and <20000;>60;;34,6;5730;70,4;2160000
Lebanon;Asia;Western Asia;1961;>= 5000 and <20000;>60;1,44;75;9360;64;1860000
Lesotho;Africa;Southern Africa;1961;<5000;>=50 and <= 60;;191;560;53;853000
Liberia;Africa;Western Africa;1961;<5000;>=40 and < 50;0,141;315;1760;41,6;1140000
Libya;Africa;Northern Africa;1961;>= 5000 and <20000;>=50 and <= 60;0,798;261;12800;51,4;1500000
Lithuania;Europe;Northern Europe;1961;>= 5000 and <20000;>60;3,53;45,5;9440;70,5;2810000
Luxembourg;Europe;Western Europe;1961;>= 20000 and <40000;>60;36,5;34,3;23200;70;317000
Madagascar;Africa;Eastern Africa;1961;<5000;>=40 and < 50;0,0681;236;2280;45,4;5220000
Malawi;Africa;Eastern Africa;1961;<5000;>=40 and < 50;;360;538;40,5;3750000
Malaysia;Asia;South-Eastern Asia;1961;<5000;>60;;87;3130;60,2;8420000
Maldives;Asia;Southern Asia;1961;<5000;0-40;;338;1110;32,8;92300
Mali;Africa;Western Africa;1961;<5000;0-40;0,0221;446;825;34,3;5320000
Malta;Europe;Southern Europe;1961;<5000;>60;0,938;39,1;2820;67;314000
Marshall Islands;Oceania;Micronesia;1961;<5000;;;123;1740;;15100
Mauritania;Africa;Western Africa;1961;<5000;>=40 and < 50;0,054;245;1940;48,3;876000
Mauritius;Africa;Eastern Africa;1961;<5000;>=50 and <= 60;0,275;98,6;3300;57,7;679000
Mexico;Americas;Central America;1961;>= 5000 and <20000;>=50 and <= 60;1,66;144;6110;58,3;39000000
Mongolia;Asia;Eastern Asia;1961;<5000;>=40 and < 50;1,42;229;1250;48,6;982000
Montenegro;Europe;Southern Europe;1961;>= 5000 and <20000;>60;;89,9;6850;66,8;498000
Morocco;Africa;Northern Africa;1961;<5000;>=50 and <= 60;0,297;232;1970;51,2;12700000
Mozambique;Africa;Eastern Africa;1961;<5000;>=40 and < 50;0,349;277;475;42,3;7340000
Myanmar;Asia;South-Eastern Asia;1961;<5000;>=40 and < 50;0,121;243;814;41,4;22200000
Namibia;Africa;Southern Africa;1961;<5000;>=50 and <= 60;;113;4620;52,3;649000
Nepal;Asia;Southern Asia;1961;<5000;>=40 and < 50;0,00789;319;965;44,3;10300000
Netherlands;Europe;Western Europe;1961;>= 5000 and <20000;>60;6,54;20,3;13300;73,7;11600000
